Nombre,Símbolo,Precio,Market Cap,Volumen (24h)
AriaAI,ARIA,0.07496,21.0721068047,216422328.87
Kyuzo's Friends,KO,0.09672,21.0421037239,9897723102.33
Lava Network,LAVA,0.0794,2121001942.0,175603922.11
BENQI,QI,0.002911,20.9720965265,625140214.68
Fusionist,ACE,0.2405,20.9420939608,721915330.0
Collector Crypt,CARDS,0.05504,20.9320931726,142350425.86
Maverick Protocol,MAV,0.02482,20.9220924126,238732096.17
Nillion,NIL,0.06889,20.9220919673,448466565.08
SuperRare,RARE,0.02534,20.920902348,3084964121.73
Orchid,OXT,0.02093,20.8720872764,108962752.05
Eclipse,ES,0.1572,20.8620862501,494579031.44
Polyhedra Network,ZKJ,0.03592,20.8320834584,266841974.26
Dolomite,DOLO,0.04656,20.5620562492,7882433169.29
SUPRA,SUPRA,0.0007115,16.3416338402,493284693.2
Hermez Network,HEZ,3.47,16.3316332541,221466.37
Initia,INIT,0.09061,16.316301066,742543881.94
MyNeighborAlice,ALICE,0.1621,16.2616256052,469739728.96
Radworks,RAD,0.2751,16.2516254393,435057315.81
iShares Core MSCI EAFE Tokenized ETF (Ondo),IEFAon,95.83,16.1216124567,509663853.18
Saga,SAGA,0.04676,16.0816078497,4860908103.94
ROGin AI,ROG,0.2377,15.9315928467,607425.54
Highstreet,HIGH,0.2009,15.751575106,278914013.87
GameStop (gamestop-coin.vip),GME,3.825e-05,15.7315734123,1370203.58
PIVX,PIVX,0.1572,15.7215724853,293564218.67
Felysyum,FELY,0.3592,15.7215721451,67805188.76
elizaOS,ELIZAOS,0.002099,15.7115705879,85315014.06
Stader,SD,0.2284,15.6315632874,20483968.96
FirmaChain,FCT,0.01405,15.631562729,1528217108.76
DODO,DODO,0.01799,13.0613056937,9593559533.2
Beefy,BIFI,163.04,13.0413043474,7918884.85
MicroStrategy tokenized stock (xStock),MSTRX,157.95,12.9712968331,370804923.47
Splendor,SPLD,0.2899,12.9612960498,4041271.39
RollX,ROLL,0.08284,12.841284175,25299187305.36
Splintershards,SPS,0.008152,12.8212819748,288573.53
Bubblemaps,BMT,0.02244,12.7712768054,8363346372.55
Alephium,ALPH,0.104,12.7212722464,2394492.3
Titan's Tap,TIT,0.0004134,12.6912687584,51848125.4
RAMP,RAMP,0.02651,12.6712671595,0.0
Infrared,IR,0.0618,12.6712670681,6302411101.96
Autonolas,OLAS,0.05366,12.6312627126,2303324.29
Acet,ACT,0.01003,12.6312625627,126841.26
RIZE,RIZE,0.008276,12.6112613452,11827314.29
ColossusXT,COLX,0.0009845,12.5412536278,0.0
Bella Protocol,BEL,0.1303,10.4310425028,190267014.6
ASD,ASD,0.01575,10.4110409803,131067983.17
Roam,ROAM,0.0308,10.3810383849,144898747.03
Juventus Fan Token,JUV,0.7132,10.3810378753,68173879.55
Zeta,ZEX,0.05465,10.2610261824,2668624.88
NAVI Protocol,NAVX,0.01255,10.2410243549,32001225.49
Manyu (manyushiba.com),MANYU,0.071021,10.2210217843,2239181219.14
Peercoin,PPC,0.3402,10.2110214014,57136167.93
Banxchange,BXE,0.03371,10.1410141729,1015233.01
OpenEden,EDEN,0.05514,10.1410139166,512131992.87
Avalon Labs (AVL),AVL,0.06237,10.081008478,9818966157.42
Rupiah Token,IDRT,5.799e-05,10.0810083594,0.0
Coq Inu,COQ,0.061448,10.0610058823,6343384.37
Alpine F1 Team Fan Token,ALPINE,0.535,10.0510045285,1068681119.97
Orbiter Finance,OBT,0.001927,10.021002353,27271471.41
zkVerify,VFY,0.02616,8.258252213,140416953.65
Edel,EDEL,0.0159,8.248240764,26295216.52
Autonomi,ANT,0.06026,8.248235224,3092525.13
Save,SAVE,0.1801,8.2382282,0.0
Gold tokenized ETF (xStock),GLDX,466.89,8.228217398,6294691.34
Nobody Sausage,NOBODY,0.008753,8.198194012,50631857.84
Kekius Maximus (kekiusmaximus.vip),KEKIUS,0.00819,8.198190067,851309103.94
Portugal National Team Fan Token,POR,0.8204,8.158147287,430609524.82
Augur,REP,0.7398,8.148138173,1652822.34
MEVerse,MEV,0.004694,8.118105521,52463951.11
Pkoin,PKOIN,0.5816,8.18098527,5107987.82
Telos,TLOS,0.01807,8.088076237,178638298.8
Wojak,WOJAK,0.0001161,8.06805816,6663885.73
HOPR,HOPR,0.02359,8.058050416,38252616.21
Parcl,PRCL,0.01951,8.048044221,124451363.78
Cryptex Finance,CTX,0.7868,6.466455132,8382971.06
Swell Network,SWELL,0.001562,6.426416348,1264462809.42
WhiteCoin,XWC,0.008388,6.41641127,101.16
Shadow Token,SHDW,0.03787,6.46403586,31018818.87
Populous,PPT,0.1202,6.46401301,0.0
Lion Cat,LCAT,0.01231,6.376374917,154461.25
SpaceN,SN,0.1589,6.366360278,317719.98
CESS Network,CESS,0.002394,6.356345006,1323232552.64
Mythos,MYTH,0.007179,6.246244089,337754.7
Arsenal Fan Token,AFC,0.3815,6.2462388,25579336.7
EDENA,EDENA,0.8249,6.236226956,490652594.76
Cult DAO,CULT,0.051436,6.26202013,7322250.98
0x0.ai,0x0,0.007121,6.196185546,76981.08
DeBox,BOX,0.01349,6.186182339,266191.97
Games for a Living,GFAL,0.001618,6.126115248,9108856.27
Smog,SMOG,0.00641,4.994993692,0.0
Upland (SPARKLET),SPARKLET,0.02076,4.974972798,28441113.69
Zeus Network,ZEUS,0.0123,4.964957494,1295428105.24
Crown by Third Time Games,CROWN,0.02257,4.944940834,2949130.66
AIVille Governance Token,AIV,0.001778,4.944939517,127177.15
Observer,OBSR,0.0007829,4.944938311,69468.87
Decentralized Euro,DEURO,1.19,4.93492653,21771.82
Minima,MINIMA,0.008848,4.94896602,498415.63
SPECTRE AI,SPECTRE,0.4896,4.894893199,351327717.49
Seedify.fund,SFUND,0.05494,4.87486506,4031567.33
Steem Dollars,SBD,0.4962,4.864863719,7670611.54
Fair and Free,FAIR3,0.005194,4.864860768,493209.49
DRX Token,DRX,0.007312,4.864855338,7830010.7
Kendu,KENDU,0.055104,4.844841163,86461.69
iShares Russell 2000 Value Tokenized ETF (Ondo),IWNon,196.14,4.844839442,622931.75
Intel Tokenized Stock (Ondo),INTCon,43.93,3.933927766,4577381104.17
Neuron,NRN,0.01101,3.93901054,29453126.74
Verasity,VRA,4.189e-05,3.93899332,339754781.1
Resistance Dog,REDO,0.03896,3.93896736,1147582.94
ALTAVA,TAVA,0.005588,3.89388895,6181511.06
VestChain,VEST,0.0009827,3.883877783,0.0
Dora Factory,DORA,0.007214,3.88387615,10419714.44
XDB CHAIN,XDB,0.0002245,3.863862345,78672350.29
Aurory,AURY,0.05127,3.853852084,934581.82
TokenFi,TOKEN,0.003848,3.853848707,1728972449.24
LumiWave,LWA,0.004984,3.843838573,32920166.04
LeverUp,LV,0.04263,3.843836733,1690983.96
Infinity Rising,RISE,0.005067,3.843835586,1585312.69
Dimitra,DMTR,0.00785,3.82381941,26491233.74
Apple Tokenized Stock (Ondo),AAPLon,260.11,3.83796761,472109718.15
Baanx,BXX,0.01282,3.173171637,98776.95
Nexa,NEXA,0.065409,3.1731697,3825170.71
Botto,BOTTO,0.06616,3.143142258,64493974.73
Astroon,AST,0.005101,3.133134005,21575142.28
WHALE,WHALE,0.3133,3.133133926,0.0
Microsoft Tokenized Stock (Ondo),MSFTon,481.25,3.13313035,33146526.88
Amazon tokenized stock (xStock),AMZNX,243.21,3.133129961,1120354946.06
Central African Republic Meme,CAR,0.003132,3.123120323,12554340.07
My Lovely Planet,MLC,0.03186,3.12312031,38366112.04
Matr1x,MAX,0.02388,3.123117377,12488522.84
Gochujangcoin,GOCHU,0.062785,3.11311401,219104786.5
Department Of Government Efficiency (dogegov.com),DOGE,0.003176,3.113110239,1083416341.06
DerivaDAO,DDX,0.119,3.113106115,1191.0
Nestree,EGG,0.001036,3.113105451,4333341.78
NetMind Token,NMT,0.09283,3.113105213,4860975.23
Pups (Bitcoin),PUPS,0.002616,2.532534383,91573.49
ArbDoge AI,AIDOGE,0.0101453,2.542535848,1858948127.88
Phoenixcoin,PXC,0.0272,2.532532521,49018.02
Roaring Kitty,ROAR,0.002532,2.532532333,13122651.82
Pluton,PLU,0.1484,2.522522859,34480232.33
Switchboard Protocol,SWTCH,0.01468,2.522519428,2455174167.22
Artyfact,ARTY,0.1285,2.52503232,8408346.54
Everclear,CLEAR,0.00359,2.52502926,359019.99
Dill,DL,0.002109,2.52499803,769178364.61
trac (Ordinals),TRAC,0.1188,2.52495429,532344.79
Best Wallet,BEST,0.001491,2.492492302,509360341.48
Streamflow,STREAM,0.01637,2.492491014,1046496.39
ASML Holding NV Tokenized Stock (Ondo),ASMLon,1471.31,2.492489436,50109233.4
Hoppy,HOPPY,0.05591,2.492486463,1136133192.22
Voxies,VOXEL,0.009767,2.49248563,1998974204.66
Altcoinist,ALTT,0.008581,2.12102387,5698663.98
Boop,BOOP,0.006678,2.092089411,11028016.51
Artrade,ATR,0.001654,2.082084333,195375118.11
Mistery On Cro,MERY,0.055077,2.0820831,113942.24
Bitcoin 2,BTC2,0.1129,2.082079263,1069294.66
Napoli Fan Token,NAP,0.3922,2.082077224,148668378.99
e-Radix,EXRD,0.00246,2.082075916,9231137.51
LATOKEN,LA,0.005433,2.072065122,6912.76
Energi,NRG,0.01999,2.052054473,275091.37
Jerry The Turtle By Matt Furie,JYAI,2.976e-05,2.052053485,214156771.95
Giants Protocol,G,7.093e-05,2.052050927,1053241.48
MARS4,MARS4,0.0008236,2.052045071,165283200.68
Luxxcoin,LUX,0.0008934,2.052045395,554828620.98
U,U,0.002055,2.042041391,3497117.01
Polytrade,TRADE,0.04938,2.042039148,2796775.66
mStable Governance Token: Meta (MTA),MTA,0.03017,1.671672225,399.17
老子,老子,0.001664,1.661664866,64141693.85
Light,LIGHT,0.002919,1.661664679,93.09
W Coin,WCO,0.0002553,1.661663663,2670861.04
DFDV tokenized stock (xStock),DFDVx,5.86,1.661661267,1218796207.76
Verse,VERSE,3.669e-05,1.661657688,3038.25
Mochi (New),MOCHI,0.051765,1.66165522,2136112.1
Alon,ALON,0.001656,1.65165323,311020187.74
Crypto Asset Governance Alliance,CAGA,2.683e-05,1.651650133,11039411.35
EVDC Network,EVDC,2.6e-05,1.641644412,37399114.38
KLEVA Protocol,KLEVA,0.02379,1.641639797,73330.81
